,Cow,Date,Body Weight (kg),Daily Hay Dry matter (kg),hay intake fresh
0,Cow 1,2022-01-01,391.0300763453626,15.097938620106113,25.130864776009577
1,Cow 1,2022-01-02,497.42987955269797,25.603158213615625,37.37838028717134
2,Cow 1,2022-01-03,383.2634089834123,24.392390375844478,61.928020835725974
3,Cow 1,2022-01-04,420.83297278340024,13.50131061742027,53.642012714039915
4,Cow 1,2022-01-05,460.102112804693,17.936187839250845,52.433683575613095
5,Cow 1,2022-01-06,437.22113577108746,26.553478313691336,50.63549240660263
6,Cow 1,2022-01-07,597.9885641263184,33.55361122210132,46.54283810362082
7,Cow 1,2022-01-08,434.9361789046943,21.21880762767237,53.29915524812775
8,Cow 1,2022-01-09,427.5709304012141,20.745305613257138,66.02611660870198
9,Cow 1,2022-01-10,542.0499767171708,34.05154925306436,49.666560144351386
10,Cow 1,2022-01-11,428.12799911588337,31.205891487422175,40.48545395283336
11,Cow 1,2022-01-12,512.2846975368542,20.480198645382067,62.78534820138705
12,Cow 1,2022-01-13,267.46635939298574,18.951331036345767,46.54760276958778
13,Cow 1,2022-01-14,185.65652298180686,24.866496202207898,59.71371388766447
14,Cow 1,2022-01-15,431.9313410117179,18.778192440307254,39.06925895553348
15,Cow 1,2022-01-16,331.6366238252174,27.916435483787282,40.70704957804473
16,Cow 1,2022-01-17,383.3463453233211,19.607437021230886,43.340769579735664
17,Cow 1,2022-01-18,471.9398180764611,21.755902848873593,66.92114042779926
18,Cow 1,2022-01-19,532.8552105162244,24.251724844033877,49.74181210466936
19,Cow 1,2022-01-20,378.0557488859576,14.37081792053711,51.214132217671235
20,Cow 1,2022-01-21,291.46649172247555,19.97343584573832,48.170060163804536
21,Cow 1,2022-01-22,518.9991576596493,23.20165172187523,45.94152246246254
22,Cow 1,2022-01-23,553.8594275949185,24.032101770494855,49.510794490567875
23,Cow 1,2022-01-24,338.9081254610004,19.867550666025664,39.89121264094495
24,Cow 1,2022-01-25,441.7815152837409,11.479419618110114,42.32428870576519
25,Cow 1,2022-01-26,496.75599463456984,18.619158422617712,53.72946997034616
26,Cow 1,2022-01-27,542.6911410600185,16.039366819971537,53.35162292689355
27,Cow 1,2022-01-28,381.3337254847154,8.619126157325862,39.48386973270434
28,Cow 1,2022-01-29,591.0244402426179,17.972990178758312,36.54313370749279
29,Cow 1,2022-01-30,358.2951940692375,15.190106116335702,47.36677945919266
30,Cow 1,2022-01-31,305.99109502921453,16.652963171795328,67.4346265715117
31,Cow 1,2022-02-01,419.96361704710233,12.25649441277551,41.704176303096446
32,Cow 1,2022-02-02,559.7083350391191,30.104103680517387,56.06300942004205
33,Cow 1,2022-02-03,464.40855837890643,18.60411684917599,45.26515611363367
34,Cow 1,2022-02-04,342.1655483864273,21.128084397409065,59.326959918533966
35,Cow 1,2022-02-05,461.46330350603176,24.648181713511352,39.71872671755713
36,Cow 1,2022-02-06,483.8588516307329,20.252920301925805,39.27705749279795
37,Cow 1,2022-02-07,383.33584698815,18.72518658745353,52.523810142882795
38,Cow 1,2022-02-08,472.77136358744093,18.264620502108883,58.67034140289823
39,Cow 1,2022-02-09,390.23033398957557,28.248665695212424,40.16726150556428
40,Cow 1,2022-02-10,464.33716233383234,24.511990294799947,50.12869693063579
41,Cow 1,2022-02-11,328.3527407133234,20.980066561471716,41.38899421520965
42,Cow 1,2022-02-12,510.31711347302866,9.311089522568674,49.009353917744306
43,Cow 1,2022-02-13,305.21370050867154,21.44201395666948,45.32516021190779
44,Cow 1,2022-02-14,428.7254799748861,24.340373837511578,41.72926000361894
45,Cow 1,2022-02-15,337.21151979930846,15.258011797351621,36.28807824388551
46,Cow 1,2022-02-16,358.26169922786096,21.20998042601043,49.95397795328584
47,Cow 1,2022-02-17,340.80151662736716,26.265314232439408,62.09337393306912
48,Cow 1,2022-02-18,384.8544432092284,15.620417009924193,44.205728241141756
49,Cow 1,2022-02-19,662.0585396020349,20.60883691495165,48.68077921124506
50,Cow 1,2022-02-20,484.5250430860634,16.543087651938123,45.99875362886378
51,Cow 1,2022-02-21,557.730399401971,14.700345796572158,34.91303460084955
52,Cow 1,2022-02-22,409.9333023826762,15.448699551702152,60.93130198519734
53,Cow 1,2022-02-23,411.64415178819246,19.947237121390565,34.68121309920852
54,Cow 1,2022-02-24,356.0312092944562,25.470745502813738,48.49542464431164
55,Cow 1,2022-02-25,489.7609026253977,19.1055404863986,41.651492086064394
56,Cow 1,2022-02-26,349.7618658853395,18.10546815191365,57.24632143382306
57,Cow 1,2022-02-27,301.42513016948146,21.82387492148325,65.08532914209688
58,Cow 1,2022-02-28,281.3744080734796,18.64255553451839,61.21263330421846
59,Cow 1,2022-03-01,466.775069481904,13.274668592367451,43.305237775855325
60,Cow 2,2022-01-01,404.891980101302,28.63702897022178,62.74992056257516
61,Cow 2,2022-01-02,321.405865070358,22.346750000167642,46.84657818566111
62,Cow 2,2022-01-03,387.44959189821424,20.067901342970302,60.56038019248074
63,Cow 2,2022-01-04,355.58146555987616,22.12401067923897,52.09814221774251
64,Cow 2,2022-01-05,571.5375179659394,15.890876011724625,56.63240314700385
65,Cow 2,2022-01-06,563.5568478943766,18.045678432348243,43.36695899199218
66,Cow 2,2022-01-07,416.8164410676591,30.512150340473738,35.948580824316736
67,Cow 2,2022-01-08,365.1890272517309,18.448466810492718,29.464994488556403
