Date,Cow,Predicted Body Weight (kg)
2022-02-15,Cow 1,430.03671256997745
2022-02-16,Cow 1,430.03671256997745
2022-02-17,Cow 1,430.03671256997745
2022-02-18,Cow 1,430.03671256997745
2022-02-19,Cow 1,430.03671256997745
2022-02-20,Cow 1,430.03671256997745
2022-02-21,Cow 1,430.03671256997745
2022-02-22,Cow 1,430.03671256997745
2022-02-23,Cow 1,430.03671256997745
2022-02-24,Cow 1,430.03671256997745
2022-02-25,Cow 1,430.03671256997745
2022-02-26,Cow 1,430.03671256997745
2022-02-27,Cow 1,430.03671256997745
2022-02-28,Cow 1,430.03671256997745
2022-03-01,Cow 1,430.03671256997745
2022-02-15,Cow 2,450.457749530981
2022-02-16,Cow 2,450.457749530981
2022-02-17,Cow 2,450.457749530981
2022-02-18,Cow 2,450.457749530981
2022-02-19,Cow 2,450.457749530981
2022-02-20,Cow 2,450.457749530981
2022-02-21,Cow 2,450.457749530981
2022-02-22,Cow 2,450.457749530981
2022-02-23,Cow 2,450.457749530981
2022-02-24,Cow 2,450.457749530981
2022-02-25,Cow 2,450.457749530981
2022-02-26,Cow 2,450.457749530981
2022-02-27,Cow 2,450.457749530981
2022-02-28,Cow 2,450.457749530981
2022-03-01,Cow 2,450.457749530981
2022-02-15,Cow 3,443.6383237458588
2022-02-16,Cow 3,443.6383237458588
2022-02-17,Cow 3,443.6383237458588
2022-02-18,Cow 3,443.6383237458588
2022-02-19,Cow 3,443.6383237458588
2022-02-20,Cow 3,443.6383237458588
2022-02-21,Cow 3,443.6383237458588
2022-02-22,Cow 3,443.6383237458588
2022-02-23,Cow 3,443.6383237458588
2022-02-24,Cow 3,443.6383237458588
2022-02-25,Cow 3,443.6383237458588
2022-02-26,Cow 3,443.6383237458588
2022-02-27,Cow 3,443.6383237458588
2022-02-28,Cow 3,443.6383237458588
2022-03-01,Cow 3,443.6383237458588
2022-02-15,Cow 4,446.50113686868025
2022-02-16,Cow 4,446.50113686868025
2022-02-17,Cow 4,446.50113686868025
2022-02-18,Cow 4,446.50113686868025
2022-02-19,Cow 4,446.50113686868025
2022-02-20,Cow 4,446.50113686868025
2022-02-21,Cow 4,446.50113686868025
